Round: 4, Step 0
G_mean: 0.5586: 0.0132,8.6211,4.3253,24,31,86,6,74,0.5841,0.0932
G_mean: 0.0000: 0.7678,1.2625,11.7598,273,138,64,9,36,0.1363,0.0985
G_mean: 0.0000: 0.9687,8.8909,8.4287,235,935,50,9,57,0.804,0.0644
G_mean: 0.0000: 0.3854,3.9916,3.3056,24,928,10,5,17,0.6776,0.0999
G_mean: 0.8796: 0.5376,6.9567,4.9827,239,550,90,4,97,0.1744,0.0021
G_mean: 0.4164: 0.8022,7.8833,12.9161,184,373,82,7,79,0.6454,0.0993
G_mean: 0.0000: 0.8787,8.1946,18.3871,251,613,70,2,78,0.5909,0.069
G_mean: 0.0000: 0.5048,4.9697,13.4425,263,685,6,1,1,0.2762,0.0384
G_mean: 0.8592: 0.6553,9.502,15.4021,114,789,40,8,56,0.8855,0.0642
G_mean: 0.5706: 0.7054,8.3796,12.9931,160,264,56,1,83,0.9718,0.0426
G_mean: 0.2655: 0.7597,6.6961,10.63,192,342,46,7,74,0.9681,0.0204
G_mean: 0.0000: 0.997,7.2032,16.1191,213,844,5,8,29,0.5305,0.0226
G_mean: 0.9341: 0.6121,8.7425,12.5803,41,783,5,6,31,0.7244,0.0163
G_mean: 0.5515: 0.8644,3.0966,6.4141,227,71,81,5,99,0.1969,0.0398
G_mean: 0.0000: 0.6779,9.6377,3.8922,217,76,91,8,76,0.098,0.0355
G_mean: 0.0000: 0.1912,2.6589,17.0213,200,823,79,8,91,0.9392,0.0407
G_mean: 0.5987: 0.3471,4.5295,16.1734,278,226,79,2,67,0.8468,0.0038
G_mean: 0.6491: 0.662,3.0805,16.9102,55,264,60,6,23,0.8681,0.0073
G_mean: 0.7540: 0.7948,7.4842,2.6534,11,603,5,9,39,0.8005,0.0438
G_mean: 0.4336: 0.9813,1.2874,18.2624,198,55,39,9,28,0.1679,0.0829
G_mean: 0.8248: 0.0571,8.2269,2.116,56,203,50,8,63,0.1086,0.0942
G_mean: 0.8261: 0.6652,6.9983,10.1,125,511,39,4,69,0.961,0.0043
G_mean: 0.6670: 0.8777,8.8098,3.4954,113,455,75,3,37,0.5033,0.0061
G_mean: 0.0000: 0.5537,7.5222,10.0137,250,781,13,6,2,0.2552,0.023
G_mean: 0.0000: 0.5121,5.7124,14.059,198,934,61,6,52,0.5176,0.0758
G_mean: 0.5380: 0.3198,3.5679,15.2873,145,94,42,4,62,0.4028,0.091
G_mean: 0.9091: 0.0193,5.1363,10.5961,206,701,46,2,84,0.9001,0.0404
G_mean: 0.8767: 0.7562,4.1878,4.1434,251,408,75,2,71,0.1948,0.0559
G_mean: 0.9883: 0.8564,8.2785,16.4545,17,814,82,6,49,0.0682,0.0605
G_mean: 0.0000: 0.8063,4.5722,17.6452,291,716,17,9,23,0.0986,0.0125
G_mean: 0.1861: 0.2792,1.7747,5.6054,137,456,34,3,24,0.3672,0.0867
G_mean: 0.0000: 0.3911,4.741,3.4994,219,717,67,4,27,0.593,0.0781
G_mean: 0.8447: 0.9239,7.3969,16.9338,68,607,72,6,52,0.7721,0.0851
G_mean: 0.9534: 0.1954,9.8097,3.1003,112,934,81,3,79,0.812,0.0727
G_mean: 0.5893: 0.7527,7.8674,17.597,44,372,86,6,71,0.7158,0.0158
G_mean: 0.6870: 0.5584,7.1313,11.1055,74,934,60,10,65,0.6723,0.0057
G_mean: 0.4457: 0.3077,3.9976,16.9536,18,483,74,7,93,0.1009,0.0873
G_mean: 0.8487: 0.5478,8.1088,18.7211,120,615,68,3,34,0.5413,0.0203
G_mean: 0.0000: 0.2022,8.7379,17.8485,269,12,74,1,99,0.0423,0.0644
G_mean: 0.0000: 0.5293,2.3617,4.9859,235,794,96,4,48,0.3894,0.0413
G_mean: 0.0000: 0.4995,4.1768,15.8026,28,33,44,9,24,0.0061,0.0571
G_mean: 0.3141: 0.1913,5.7796,18.0098,176,401,90,7,46,0.6465,0.0402
G_mean: 0.7230: 0.3593,7.9162,15.3158,223,577,28,9,72,0.9097,0.0213
G_mean: 0.8914: 0.7734,7.3462,11.0271,106,684,5,2,32,0.512,0.0438
G_mean: 0.8487: 0.3326,9.6806,6.6967,120,435,60,4,15,0.1786,0.028
G_mean: 0.4641: 0.3936,3.1326,9.6565,57,77,69,10,28,0.0992,0.0844
G_mean: 0.9733: 0.4232,6.971,14.4399,38,845,19,4,41,0.3514,0.0977
G_mean: 0.5556: 0.8015,2.7172,12.8278,94,58,86,4,16,0.2552,0.0091
G_mean: 0.0000: 0.1025,1.8794,6.2176,155,542,1,9,39,0.1113,0.0076
G_mean: 0.5666: 0.8607,4.3586,18.3531,219,649,52,2,84,0.0604,0.0592
G_mean: 0.5452: 0.352,8.6211,5.548,24,31,86,6,57,0.5841,0.0932
G_mean: 0.4848: 0.7678,1.2625,11.7598,29,138,64,9,93,0.2233,0.0212
G_mean: 0.0000: 0.9687,8.8909,12.7611,235,92,10,9,57,0.804,0.0644
G_mean: 0.6010: 0.3854,6.2301,3.3056,24,241,10,4,66,0.6776,0.0999
G_mean: 0.1146: 0.8022,4.2336,2.9996,184,373,82,7,79,0.6454,0.0993
G_mean: 0.0859: 0.8787,8.1946,18.3871,251,613,70,2,62,0.5909,0.073
G_mean: 0.0000: 0.4879,5.8854,13.4425,263,207,31,1,1,0.2762,0.0384
G_mean: 0.6834: 0.1902,9.502,15.4021,114,496,40,8,52,0.8855,0.0642
G_mean: 0.5907: 0.7291,8.3796,12.9931,223,264,56,1,83,0.7539,0.0219
G_mean: 0.5449: 0.7597,6.6961,4.0664,192,504,46,7,57,0.9681,0.0788
G_mean: 0.0000: 0.7093,7.2032,16.1191,225,844,5,9,9,0.32,0.0465
G_mean: 0.0000: 0.6121,8.7425,12.5803,237,783,5,6,31,0.7244,0.0163
G_mean: 0.1658: 0.8644,9.7603,8.8294,227,71,5,5,99,0.7199,0.0398
G_mean: 0.0000: 0.6779,9.6377,5.6734,162,929,91,8,76,0.1918,0.0452
G_mean: 0.0000: 0.3253,2.6589,14.0944,67,648,54,8,91,0.9751,0.0808
G_mean: 0.0635: 0.3471,4.5295,16.1734,278,226,79,4,67,0.8468,0.0038
G_mean: 0.4681: 0.662,9.0181,16.9102,261,264,37,6,76,0.8681,0.0073
G_mean: 0.5380: 0.5917,3.6584,12.8236,11,603,5,1,39,0.8005,0.0438
G_mean: 0.5536: 0.9813,1.2874,4.3908,28,55,39,9,28,0.1679,0.0829
G_mean: 0.9340: 0.0571,8.2269,4.4892,56,510,50,8,21,0.1086,0.0942
G_mean: 0.0000: 0.7518,6.9983,10.1,125,511,12,4,69,0.7767,0.0043
G_mean: 0.9517: 0.8777,8.4787,3.4954,113,870,78,7,37,0.5033,0.0061
G_mean: 0.0000: 0.5537,4.8538,10.0137,114,781,13,6,2,0.2552,0.0246
G_mean: 0.0000: 0.5121,5.7124,14.059,198,934,61,6,52,0.044,0.0758
G_mean: 0.5827: 0.3198,3.5679,15.2873,154,94,42,7,62,0.4028,0.091
G_mean: 0.5400: 0.3433,5.1363,14.4438,206,278,46,2,84,0.9001,0.0404
G_mean: 0.5044: 0.6474,4.1878,4.1434,251,408,75,2,61,0.571,0.0559
G_mean: 1.0000: 0.8564,1.8354,16.4545,17,814,82,6,49,0.0682,0.0605
G_mean: 0.9765: 0.8063,4.5722,17.6452,32,716,34,9,23,0.0986,0.0125
G_mean: 0.0000: 0.8504,1.7747,5.6054,195,456,34,3,24,0.3672,0.0867
G_mean: 0.3305: 0.3911,4.741,3.4994,217,717,51,4,53,0.593,0.0692
G_mean: 0.6032: 0.9239,7.3969,16.9338,68,470,72,6,52,0.8709,0.0851
G_mean: 0.9323: 0.6252,9.8097,3.1003,112,806,81,3,79,0.812,0.0727
G_mean: 0.9339: 0.7527,7.8674,17.597,108,775,21,6,47,0.7158,0.0158
G_mean: 0.8969: 0.6528,9.089,9.12,74,934,48,10,65,0.6723,0.0033
G_mean: 0.1489: 0.3825,3.9976,6.6256,201,429,74,6,93,0.1009,0.0873
G_mean: 0.7641: 0.5478,8.1088,18.7211,120,429,68,6,34,0.5413,0.0203
G_mean: 0.3685: 0.2022,8.7379,17.8485,224,12,74,10,45,0.0423,0.0644
G_mean: 0.0000: 0.5293,2.3617,9.5583,235,794,96,4,48,0.3894,0.0413
G_mean: 0.5473: 0.4995,4.1768,8.2994,28,33,15,9,24,0.0061,0.0571
G_mean: 0.5749: 0.1913,5.7796,18.0098,176,306,16,7,46,0.71,0.0402
G_mean: 0.2432: 0.3593,9.3707,5.4563,145,577,28,8,72,0.7545,0.0851
G_mean: 0.0000: 0.7734,6.1175,4.8595,189,684,5,8,84,0.1081,0.0438
G_mean: 0.7611: 0.3326,7.4278,6.6967,35,435,63,4,15,0.1786,0.028
G_mean: 0.3972: 0.3936,8.8344,9.8412,57,77,69,10,28,0.0992,0.0844
G_mean: 0.9765: 0.4232,1.9771,14.4399,38,845,90,4,41,0.3514,0.0836
G_mean: 0.5494: 0.8015,2.7172,12.8278,94,58,86,6,16,0.2552,0.0091
G_mean: 0.0000: 0.5765,1.0441,6.2176,155,120,1,9,66,0.1113,0.0076
G_mean: 0.8702: 0.8607,8.0324,2.3647,219,649,52,2,84,0.0662,0.0556
Step: 0, max G_mean: 1.0, hyperparameter: [0.856395957400887, 1.8354445281470129, 16.454473489686286, 17.285571164424102, 813.9381014048574, 82.2706326609973, 5.939897486686223, 48.735543746515674, 0.06816724098561355, 0.06048422624024552]
Round: 4, Step 1
G_mean: 0.5159: 0.8072,6.4047,4.3253,24,31,86,9,74,0.4977,0.0125
G_mean: 0.5770: 0.4645,6.2301,19.8053,24,241,10,4,66,0.6776,0.0999
G_mean: 0.0000: 0.5376,6.9567,4.9827,239,550,35,4,97,0.1744,0.0816
G_mean: 0.5987: 0.6641,9.502,15.4021,114,789,65,1,22,0.698,0.0642
G_mean: 0.6866: 0.7291,1.7307,12.9931,223,651,94,1,79,0.7539,0.0219
G_mean: 0.0000: 0.9202,7.3402,12.5803,153,739,88,10,58,0.3335,0.0163
G_mean: 0.7380: 0.3471,7.5905,16.1734,138,619,79,2,67,0.8468,0.0038
G_mean: 0.6954: 0.9457,3.0805,14.3407,55,264,60,6,23,0.4524,0.0073
G_mean: 0.9852: 0.7948,6.9632,2.6534,68,603,71,9,20,0.5191,0.0438
G_mean: 0.5380: 0.9813,1.2874,4.3908,28,55,39,9,62,0.919,0.0668
G_mean: 0.0971: 0.0571,8.3495,4.4892,151,510,50,8,21,0.1086,0.022
G_mean: 0.0000: 0.9125,8.1507,10.1,125,511,39,4,69,0.4598,0.0043
G_mean: 0.9725: 0.8777,8.4787,12.8907,113,870,78,7,37,0.292,0.0061
G_mean: 0.0000: 0.3198,6.018,15.2873,154,94,42,7,36,0.3781,0.0091
G_mean: 0.5973: 0.0193,5.1363,5.9925,161,245,46,7,29,0.9001,0.0404
G_mean: 0.6081: 0.5577,4.1878,4.1434,251,408,75,2,20,0.1948,0.0559
G_mean: 0.9400: 0.8564,1.8354,16.4545,17,814,82,6,49,0.0682,0.0605
G_mean: 0.9612: 0.8063,4.5722,18.2466,32,716,62,9,23,0.2023,0.0125
G_mean: 0.6520: 0.636,7.3969,16.9338,68,607,43,6,52,0.7721,0.0851
G_mean: 0.0000: 0.1954,5.2198,3.1003,112,934,81,3,79,0.812,0.0727
G_mean: 0.9733: 0.7527,7.8674,8.9295,108,775,21,6,47,0.2023,0.0778
G_mean: 0.9613: 0.6528,9.089,9.12,128,934,48,5,65,0.6723,0.0018
G_mean: 0.7474: 0.4274,8.1088,18.7211,120,615,68,2,34,0.6557,0.0203
G_mean: 0.5027: 0.1913,1.4873,18.0098,157,306,16,7,69,0.71,0.0402
G_mean: 0.6055: 0.3593,7.9162,10.918,149,577,83,9,72,0.9097,0.0579
G_mean: 0.3415: 0.7734,7.3462,11.0271,106,853,5,10,32,0.0112,0.0438
G_mean: 0.6889: 0.6211,9.6806,10.4427,120,435,60,4,15,0.6892,0.008
G_mean: 0.9184: 0.4232,1.9771,11.6508,38,422,30,4,41,0.3514,0.0242
G_mean: 0.3958: 0.8015,2.7172,12.8278,219,35,86,5,16,0.2552,0.0763
G_mean: 0.7735: 0.8607,8.0324,2.3647,219,373,52,2,56,0.4669,0.0556
Step: 1, max G_mean: 1.0, hyperparameter: [0.856395957400887, 1.8354445281470129, 16.454473489686286, 17.285571164424102, 813.9381014048574, 82.2706326609973, 5.939897486686223, 48.735543746515674, 0.06816724098561355, 0.06048422624024552]
Round: 4, Step 2
G_mean: 0.1860: 0.5376,7.7173,12.8881,121,591,94,4,76,0.1744,0.0907
G_mean: 0.9183: 0.6553,9.502,15.4021,114,789,69,3,56,0.8855,0.0642
G_mean: 0.0000: 0.6121,8.7425,12.5803,211,528,5,2,31,0.9611,0.0163
G_mean: 0.0000: 0.855,6.9632,9.727,145,603,71,9,20,0.5191,0.0569
G_mean: 0.0000: 0.6565,8.2269,13.0284,56,510,50,8,21,0.2323,0.0985
G_mean: 0.3866: 0.5588,6.9983,17.1874,125,647,39,4,69,0.2812,0.0043
G_mean: 0.8864: 0.8777,8.4787,12.8907,52,870,78,7,37,0.292,0.0061
G_mean: 0.8088: 0.8684,5.1363,14.4485,206,701,21,2,25,0.9001,0.0712
G_mean: 0.9126: 0.7562,4.1878,4.1434,201,408,41,2,72,0.4629,0.0738
G_mean: 0.9521: 0.8564,1.8354,16.4545,17,715,82,7,66,0.8414,0.067
G_mean: 0.6072: 0.7697,4.5722,17.6452,32,411,86,9,82,0.0986,0.0125
G_mean: 0.5638: 0.4527,7.3969,16.9338,68,651,72,6,52,0.7721,0.0851
G_mean: 0.0000: 0.768,9.8097,11.0745,156,934,81,3,79,0.8734,0.0727
G_mean: 0.6782: 0.5308,7.8674,17.9345,108,685,21,6,47,0.706,0.0778
G_mean: 0.9732: 0.6528,1.3788,9.12,201,934,48,5,65,0.4655,0.0018
G_mean: 0.6077: 0.5478,6.6039,18.7211,120,615,68,3,34,0.5413,0.0203
G_mean: 0.5400: 0.6443,7.3462,18.5182,102,684,5,2,68,0.512,0.0438
G_mean: 0.8277: 0.3326,9.6806,6.6967,87,435,79,7,15,0.1786,0.028
G_mean: 0.9483: 0.4232,1.9771,14.4399,38,845,90,6,41,0.3514,0.0836
G_mean: 0.7903: 0.8607,8.4217,2.3647,219,361,52,2,84,0.0662,0.0556
Step: 2, max G_mean: 1.0, hyperparameter: [0.856395957400887, 1.8354445281470129, 16.454473489686286, 17.285571164424102, 813.9381014048574, 82.2706326609973, 5.939897486686223, 48.735543746515674, 0.06816724098561355, 0.06048422624024552]
computational time: 1.5597510169444444 h
